Timestamp,Day_Of_Week,Public_Holiday,Hours_Since_Midnight,Flu_Like_Symptoms_Count,Dengue_Count,ibov_open,temperature_2m,precipitation,cloudcover,weathercode,windspeed_10m,pm2_5,ozone,us_aqi,onibus,metro,festival,trem,greve
2024-03-01 05:00:00,4,0,5.0,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:05:00,4,0,5.083333333333333,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:10:00,4,0,5.166666666666667,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:15:00,4,0,5.25,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:20:00,4,0,5.333333333333333,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:25:00,4,0,5.416666666666667,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:30:00,4,0,5.5,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:35:00,4,0,5.583333333333333,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:40:00,4,0,5.666666666666667,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:45:00,4,0,5.75,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:50:00,4,0,5.833333333333333,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 05:55:00,4,0,5.916666666666667,505,286,128989.25,26.8,0.0,8,Clear sky,9.1,14.2,8.0,41,48,5,12,12,0
2024-03-01 06:00:00,4,0,6.0,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:05:00,4,0,6.083333333333333,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:10:00,4,0,6.166666666666667,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:15:00,4,0,6.25,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:20:00,4,0,6.333333333333333,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:25:00,4,0,6.416666666666667,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:30:00,4,0,6.5,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:35:00,4,0,6.583333333333333,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:40:00,4,0,6.666666666666667,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:45:00,4,0,6.75,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:50:00,4,0,6.833333333333333,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 06:55:00,4,0,6.916666666666667,505,286,128989.25,26.7,0.0,3,Clear sky,10.4,15.1,11.0,42,48,5,12,12,0
2024-03-01 07:00:00,4,0,7.0,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:05:00,4,0,7.083333333333333,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:10:00,4,0,7.166666666666667,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:15:00,4,0,7.25,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:20:00,4,0,7.333333333333333,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:25:00,4,0,7.416666666666667,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:30:00,4,0,7.5,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:35:00,4,0,7.583333333333333,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:40:00,4,0,7.666666666666667,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:45:00,4,0,7.75,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:50:00,4,0,7.833333333333333,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 07:55:00,4,0,7.916666666666667,505,286,128989.25,27.0,0.0,16,Clear sky,11.5,13.8,23.0,42,48,5,12,12,0
2024-03-01 08:00:00,4,0,8.0,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:05:00,4,0,8.083333333333334,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:10:00,4,0,8.166666666666666,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:15:00,4,0,8.25,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:20:00,4,0,8.333333333333334,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:25:00,4,0,8.416666666666666,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:30:00,4,0,8.5,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:35:00,4,0,8.583333333333334,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:40:00,4,0,8.666666666666666,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:45:00,4,0,8.75,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
2024-03-01 08:50:00,4,0,8.833333333333334,505,286,128989.25,27.4,0.0,18,Clear sky,10.9,10.2,40.0,42,48,5,12,12,0
