Timestamp,Day_Of_Week,Public_Holiday,Is_Event,Hours_Since_Midnight,hour_sin,hour_cos,Is_Weekend,Flu_Like_Symptoms_Count,Dengue_Count,ibov_open,temperature_2m,precipitation,cloudcover,weathercode,windspeed_10m,pm2_5,ozone,us_aqi,onibus,metro,festival,trem,greve
2024-03-01 05:00:00,4,0,0,5.0,0.9659258262890683,0.25881904510252074,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:05:00,4,0,0,5.083333333333333,0.9713420698132614,0.2376858923261731,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:10:00,4,0,0,5.166666666666667,0.9762960071199334,0.2164396139381029,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:15:00,4,0,0,5.25,0.9807852804032304,0.19509032201612833,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:20:00,4,0,0,5.333333333333333,0.984807753012208,0.17364817766693041,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:25:00,4,0,0,5.416666666666667,0.9883615104677607,0.1521233861899168,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:30:00,4,0,0,5.5,0.9914448613738104,0.1305261922200517,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:35:00,4,0,0,5.583333333333333,0.9940563382223196,0.10886687485196474,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:40:00,4,0,0,5.666666666666667,0.9961946980917455,0.08715574274765814,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:45:00,4,0,0,5.75,0.9978589232386035,0.06540312923014327,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:50:00,4,0,0,5.833333333333333,0.9990482215818578,0.04361938736533601,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
2024-03-01 05:55:00,4,0,0,5.916666666666667,0.9997620270799091,0.021814885034560937,0,409.0,230.0,128989.25,27.4,0.0,71.0,Partly cloudy,9.4,8.9,13.0,39.0,56.0,4.0,8.0,24.0,0.0
